HubID,HubFormat,AssortmentTier,CompetitorDistance,CompetitorOpenSinceMonth,CompetitorOpenSinceYear,LoyaltyProgram,LoyaltyProgramSinceWeek,LoyaltyProgramSinceYear,LoyaltyProgramInterval
1,1,3,8543.0,10.0,2007.0,0,,,
2,3,2,2198.0,2.0,2006.0,1,50.0,2016.0,"Jan,Apr,Jul,Oct"
3,2,2,990.0,4.0,2016.0,0,,,
4,2,2,26715.0,3.0,2009.0,0,,,
5,2,3,2176.0,,,0,,,
6,3,1,603.0,2.0,2010.0,0,,,
7,2,3,4895.0,10.0,2006.0,1,17.0,2017.0,"Jan,Apr,Jul,Oct"
8,2,1,1487.0,3.0,2007.0,0,,,
9,2,2,208.0,,,0,,,
10,4,2,623.0,,,0,,,
11,2,3,1946.0,5.0,2009.0,0,,,
12,1,2,559.0,,,0,,,
13,3,1,8567.0,7.0,2014.0,1,12.0,2017.0,"Jan,Apr,Jul,Oct"
14,2,1,730.0,3.0,2019.0,0,,,
15,1,2,5688.0,,,0,,,
16,1,2,1008.0,4.0,2008.0,0,,,
17,2,3,5221.0,9.0,2017.0,1,11.0,2013.0,"Jan,Apr,Jul,Oct"
18,4,3,110.0,8.0,2007.0,1,33.0,2019.0,"Jan,Apr,Jul,Oct"
19,3,3,285.0,,,0,,,
20,3,1,,10.0,2009.0,0,,,
21,3,1,734.0,4.0,2011.0,0,,,
22,2,3,292.0,7.0,2007.0,0,,,
23,2,3,138.0,,,0,,,
24,3,2,262.0,7.0,2007.0,0,,,
25,2,2,1028.0,,,0,,,
26,4,3,5913.0,7.0,2017.0,0,,,
27,4,3,1724.0,8.0,2015.0,0,,,
28,1,3,937.0,,,0,,,
29,1,3,798.0,9.0,2015.0,1,41.0,2017.0,"Jan,Apr,Jul,Oct"
30,3,3,313.0,1.0,2009.0,0,,,
31,2,1,3595.0,4.0,2009.0,0,,,
32,3,2,3994.0,12.0,2005.0,0,,,
33,4,1,2354.0,,,0,,,
34,1,1,272.0,1.0,2015.0,0,,,
35,2,3,1546.0,2.0,2007.0,0,,,
36,4,1,348.0,8.0,2017.0,0,,,
37,4,1,3323.0,,,0,,,
38,3,2,3776.0,10.0,2016.0,0,,,
39,1,2,521.0,2.0,2012.0,1,41.0,2017.0,"Jan,Apr,Jul,Oct"
40,2,1,7815.0,12.0,2017.0,0,,,
41,1,1,1439.0,6.0,2018.0,1,10.0,2016.0,"Jan,Apr,Jul,Oct"
42,2,2,358.0,6.0,2015.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
43,1,3,5055.0,8.0,2007.0,1,8.0,2015.0,"Jan,Apr,Jul,Oct"
44,4,1,3623.0,,,1,36.0,2013.0,"Jan,Apr,Jul,Oct"
45,4,1,2788.0,6.0,2017.0,0,,,
46,2,1,1944.0,10.0,2018.0,0,,,
47,4,2,1014.0,1.0,2016.0,1,26.0,2012.0,"Jan,Apr,Jul,Oct"
48,3,2,4078.0,,,1,49.0,2013.0,"Jan,Apr,Jul,Oct"
49,3,2,1712.0,,,1,34.0,2014.0,"Jan,Apr,Jul,Oct"
50,3,1,3522.0,2.0,2016.0,1,51.0,2012.0,"Jan,Apr,Jul,Oct"
51,2,1,680.0,,,1,31.0,2012.0,"Jan,Apr,Jul,Oct"
52,3,2,472.0,3.0,2009.0,0,,,
53,4,1,3241.0,1.0,2007.0,0,,,
54,1,1,1611.0,5.0,2006.0,0,,,
55,1,2,1251.0,5.0,2010.0,1,23.0,2017.0,"Jan,Apr,Jul,Oct"
56,2,1,1552.0,4.0,2016.0,0,,,
57,1,3,516.0,10.0,2016.0,0,,,
58,3,1,958.0,,,1,23.0,2019.0,"Jan,Apr,Jul,Oct"
59,2,1,195.0,9.0,2006.0,0,,,
60,1,2,424.0,7.0,2016.0,1,35.0,2016.0,"Jan,Apr,Jul,Oct"
61,3,2,1167.0,1.0,2014.0,1,21.0,2014.0,"Jan,Apr,Jul,Oct"
62,4,1,1788.0,2.0,2012.0,0,,,
63,1,1,719.0,3.0,2008.0,1,43.0,2014.0,"Jan,Apr,Jul,Oct"
64,1,3,365.0,1.0,2012.0,0,,,
65,4,1,3781.0,5.0,2012.0,0,,,
66,1,2,261.0,7.0,2008.0,0,,,
67,2,2,346.0,,,0,,,
68,3,2,684.0,,,0,,,
69,2,2,2672.0,1.0,2013.0,1,39.0,2016.0,"Jan,Apr,Jul,Oct"
70,1,1,99.0,12.0,2018.0,0,,,
71,4,3,317.0,2.0,2013.0,1,23.0,2017.0,"Jan,Apr,Jul,Oct"
72,4,3,1680.0,6.0,2011.0,0,,,
73,1,3,1068.0,4.0,2014.0,0,,,
74,2,1,395.0,12.0,2010.0,0,,,
75,1,3,744.0,2.0,2009.0,0,,,
76,2,1,12898.0,6.0,2018.0,1,49.0,2012.0,"Jan,Apr,Jul,Oct"
77,3,2,382.0,2.0,2019.0,0,,,
78,1,2,790.0,6.0,2017.0,1,8.0,2012.0,"Jan,Apr,Jul,Oct"
79,1,2,5074.0,12.0,2015.0,1,43.0,2019.0,"Jan,Apr,Jul,Oct"
80,2,2,11823.0,10.0,2014.0,0,,,
81,4,1,176.0,3.0,2010.0,1,18.0,2016.0,"Jan,Apr,Jul,Oct"
82,1,2,974.0,1.0,2006.0,1,50.0,2016.0,"Jan,Apr,Jul,Oct"
83,2,2,3319.0,4.0,2011.0,1,28.0,2016.0,"Jan,Apr,Jul,Oct"
84,1,2,89.0,,,1,50.0,2014.0,"Jan,Apr,Jul,Oct"
85,4,1,4391.0,,,1,1.0,2019.0,"Jan,Apr,Jul,Oct"
86,1,3,5755.0,5.0,2013.0,1,12.0,2015.0,"Jan,Apr,Jul,Oct"
87,3,1,1509.0,1.0,2019.0,0,,,
88,2,3,1142.0,10.0,2009.0,0,,,
89,4,3,2091.0,6.0,2007.0,1,25.0,2016.0,"Jan,Apr,Jul,Oct"
90,2,1,4603.0,8.0,2009.0,0,,,
91,1,1,1863.0,,,1,23.0,2019.0,"Jan,Apr,Jul,Oct"
92,3,3,750.0,5.0,2008.0,1,48.0,2019.0,"Jan,Apr,Jul,Oct"
93,3,1,150.0,3.0,2009.0,1,34.0,2016.0,"Jan,Apr,Jul,Oct"
94,2,2,2405.0,,,0,,,
95,1,1,430.0,5.0,2018.0,1,13.0,2017.0,"Jan,Apr,Jul,Oct"
96,1,3,463.0,11.0,2018.0,0,,,
97,1,3,1267.0,9.0,2015.0,1,5.0,2017.0,"Jan,Apr,Jul,Oct"
98,3,3,6198.0,5.0,2011.0,1,34.0,2012.0,"Jan,Apr,Jul,Oct"
99,3,3,2332.0,10.0,2016.0,1,21.0,2012.0,"Jan,Apr,Jul,Oct"
100,4,3,,10.0,2007.0,0,,,
101,3,1,6345.0,6.0,2018.0,0,,,
102,3,2,1259.0,,,0,,,
103,3,1,5771.0,,,1,37.0,2015.0,"Jan,Apr,Jul,Oct"
104,1,1,1506.0,,,1,41.0,2017.0,"Jan,Apr,Jul,Oct"
105,1,1,1259.0,,,1,2.0,2015.0,"Jan,Apr,Jul,Oct"
106,3,3,760.0,6.0,2009.0,1,21.0,2014.0,"Jan,Apr,Jul,Oct"
107,1,3,587.0,1.0,2006.0,1,41.0,2018.0,"Jan,Apr,Jul,Oct"
108,2,1,1665.0,9.0,2014.0,1,36.0,2012.0,"Jan,Apr,Jul,Oct"
109,1,3,887.0,7.0,2008.0,1,39.0,2012.0,"Jan,Apr,Jul,Oct"
110,4,3,2397.0,,,0,,,
111,1,3,253.0,,,0,,,
112,3,1,940.0,6.0,2011.0,0,,,
113,1,1,1453.0,,,1,45.0,2018.0,"Jan,Apr,Jul,Oct"
114,2,2,594.0,11.0,2018.0,1,23.0,2012.0,"Jan,Apr,Jul,Oct"
115,4,1,1459.0,1.0,2010.0,0,,,
116,3,2,2088.0,7.0,2012.0,0,,,
117,4,3,389.0,7.0,2014.0,1,27.0,2019.0,"Jan,Apr,Jul,Oct"
118,2,3,1073.0,12.0,2007.0,0,,,
119,1,3,1712.0,7.0,2006.0,0,,,
120,4,1,102.0,12.0,2019.0,1,26.0,2013.0,"Jan,Apr,Jul,Oct"
